Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-08-10,The Mist,2007,https://boxd.it/aFpVSX,3.5,,"After a Storm a cloud of mist covers the whole town , what does it hold This is the basic story it follows it has some great environment which creates the suspense which it self is the source of horror . It successfully builds tension and suspense with keeps the movie interesting like the monsters both outside and inside . But where this movie falls short is the cliche it has many moments where it feels like 'bruh just get down the car and get the gun'  . The ending didnt land for me  . So overall a nice one time watch.",,2025-08-09
2025-08-10,Dredd,2012,https://boxd.it/aG3299,2.5,,"In a post-apocalyptic Mega-City One where crime runs rampant, Judge Dredd and a rookie Judge take on a murder case that leads straight to the city’s most dangerous drug gang. The film does a solid job setting up its gritty world, and the slow-mo sequences — both visually stunning and creatively used — were definite highlights. There are some strong moments scattered throughout, but overall it plays out like a fairly standard “cop fights their way through enemy territory” action movie.

The core story had room to explore more layers — whether through the villain, the city’s corruption, or Dredd’s relationship with the rookie — but it sticks to a straightforward shootout structure instead. Entertaining enough for fans of hard-edged action, but not as memorable as it could’ve been.",,2025-08-10
2025-08-10,Yavarum Nalam,2009,https://boxd.it/aG6DUH,4,,"A man and his family move into a new apartment, where they are immediately met with a series of inexplicable occurrences, from a malfunctioning lift to strange events involving their milk and Pooja ghar. The father's unease grows when he discovers a TV show that eerily parallels the lives of his family members. The film's solid cinematography and cool color grading effectively build a tense and eerie atmosphere. Its impeccable pacing is a major strength, relentlessly building the narrative and keeping the viewer thoroughly engaged.

 While marketed as a horror movie, it ultimately falls short of delivering genuine scares. Instead, it operates more effectively as a compelling thriller with a horror-like setting. Despite this, the film remains a well-executed and memorable experience.",,2025-08-10
2025-08-15,The Game,1997,https://boxd.it/aJdDwL,3.5,,"This is a story about a lonely rich guy who gets a mysterious game as a birthday gift from his brother. The game starts out fun but gets darker and darker, making it more thrilling. I really liked the movie's cinematography and color grading. The biggest problem, though, is how predictable the twists are. It's hard to believe the main character, a smart finance expert, can't figure things out. Overall, it's a good one-time watch.",,2025-08-14
2025-08-16,The Others,2001,https://boxd.it/aK1wx3,3.5,,"A mother of two, living in a secluded, old house, hires three servants to help with her home. Their arrival marks the beginning of a series of strange events that lead her to believe another entity resides in the house. The film's aged, hazy cinematography beautifully establishes an eerie and atmospheric world. Its pacing is masterfully handled, with well-timed revelations that keep the audience engaged. While marketed as a horror film, it functions more effectively as a psychological thriller due to its deliberate lack of jump scares and reliance on tension and atmosphere.",,2025-08-16
2025-08-22,Coolie,2025,https://boxd.it/aOs90b,3,,"This is a total Rajini fan movie! The plot is classic: a guy gets involved with a dangerous gang to find out who killed his friend. You can definitely see Lokesh Kanagaraj's touch in the cinematography and some of the action, especially Aamir Khan's cameo and that awesome hotel fight. But honestly, the best part of the whole film is Anirudh's BGM—it’s absolutely incredible and makes every scene pop.",,2025-08-21
2025-08-26,The World's End,2013,https://boxd.it/aRXJSd,3,,"Five friends reunite to finish the epic pub crawl they abandoned years ago. However, upon returning to their hometown, they find that everything—and everyone—seems... different. This movie is a genuinely fun watch that benefits from great chemistry among the cast, even if the overall story and its premise are somewhat average.",,2025-08-26
2025-08-27,Bronson,2008,https://boxd.it/aS5pph,2.5,,"This movie tells the story of Charles Bronson, Britain's most violent prisoner, whose initial 7-year sentence spirals into a 30-year stay in solitary confinement. Frankly, the film itself is forgettable, but it's elevated to a must-watch solely by Tom Hardy's incredible performance. He fully embodies the character, making the film a powerful showcase of his incredible acting talent.",,2025-08-26
2025-08-28,Ne Zha,2019,https://boxd.it/aSBM7z,3.5,,"A boy, destined to unleash a demonic force and destroy the world, must choose between good and evil. While the film follows a fairly average story-line, it successfully lays the groundwork for future installments. With some great animation and a fun, lighthearted tone, it's an enjoyable one-time watch.",,2025-08-27
2025-09-17,Evangelion: 1.0 You Are (Not) Alone,2007,https://boxd.it/b60F1L,3.5,Yes,"Evangelion: 1.0 You Are (Not) Alone follows Shinji, a boy with a complicated relationship with his father, who is called upon to pilot an EVA — a massive biomechanical robot — to fight against mysterious beings known as Angels. The film does an excellent job setting up the world and introducing the core elements that give the story a surprising amount of depth. The animation and action sequences still hold up remarkably well, delivering both scale and intensity.

That said, the story feels incomplete — which makes sense since this is only the first part of a larger saga — but it also gives the impression that some pieces are missing. It lays the groundwork effectively, but leaves you wanting more.",,2025-09-17
